"Requirement ID";"Original Requirement Text";"Suggested Reformulation";"Pattern";"Issues";"Severity";"Conflicts";"Missing Information";"Rationale"
"TXT-REQ-001";"firefly-python-api — Requirements. Purpose: A standalone Python client library for the Firefly III REST API. It owns the HTTP session lifecycle, credential loading, and API coverage for accounts, transactions, and reporting resources. It has no knowledge of any consumer project's configuration flow.";"";"";"NOT-A-REQUIREMENT";"";"";"";"Title and Purpose section are descriptive scope framing, not a testable obligation on the system. No reformulation produced."
"REQ-001";"As a consumer application, I want a single object that manages an authenticated HTTP session, so that I don't need to construct requests.Session or inject auth headers manually.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-001-1, UC-001-2, and UC-001-3 below, each reviewed individually."
"UC-001-1";"Instantiate `FireflyClient(url, token)` — wraps `requests.Session` with `Authorization: Bearer <token>`, `Accept: application/json`, and `Content-Type: application/json` headers.";"Instantiate `FireflyClient(url, token)` — wraps `requests.Session` with `Authorization: Bearer <token>`, `Accept: application/json`, and `Content-Type: application/json` headers.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-001-2";"Call `load_config(env_path)` — reads `FIREFLY_URL` and `FIREFLY_TOKEN` from environment or `.env` file; returns `(url, token)`.";"Call `load_config(env_path)` — reads `FIREFLY_URL` and `FIREFLY_TOKEN` from environment or `.env` file; returns `(url, token)`.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-001-3";"Call `FireflyClient.validate_connection()` — `GET /api/v1/about`; raises `FireflyConnectionError` on failure.";"Call `FireflyClient.validate_connection()` — `GET /api/v1/about`; raises `FireflyConnectionError` on failure.";"P2+P4";"NONE";"";"";"";"Meets all review criteria."
"TXT-REQ-002";"Runtime dependencies limited to `requests` and `python-dotenv`.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Design constraint restricting FireflyClient's runtime dependencies; qualifies REQ-001 (HTTP Session and Credential Management) rather than stating a standalone obligation on system behavior."
"TXT-REQ-003";"Unit test coverage ≥ 90 %.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process/verification constraint on the test suite for REQ-001; qualifies REQ-001, imposes no runtime behavior obligation on FireflyClient itself."
"REQ-002";"As a consumer application, I want methods on `FireflyClient` for common account and transaction operations, so that I don't duplicate HTTP calls across multiple projects.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-002-1, UC-002-2, and UC-002-3 below, each reviewed individually."
"UC-002-1";"`get_asset_accounts()` — paginated `GET /api/v1/accounts?type=asset`; returns list of `{""id"": str, ""name"": str}` dicts, all pages fetched automatically.";"`get_asset_accounts()` — paginated `GET /api/v1/accounts?type=asset`; returns list of `{""id"": str, ""name"": str}` dicts, all pages fetched automatically.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-002-2";"`get_latest_transaction_date(account_id)` — `GET /api/v1/accounts/{id}/transactions?limit=1&page=1`; returns an ISO date string (`YYYY-MM-DD`) or `None` if the account has no transactions. The raw API value (`YYYY-MM-DD HH:MM:SS`) is truncated to date only.";"`get_latest_transaction_date(account_id)` — `GET /api/v1/accounts/{id}/transactions?limit=1&page=1`; returns an ISO date string (`YYYY-MM-DD`) or `None` if the account has no transactions. The system shall truncate the raw API value (`YYYY-MM-DD HH:MM:SS`) to date only (`YYYY-MM-DD`) before returning it.";"P2";"PASSIVE-VOICE";"Major";"";"";"Second sentence used passive construction (""is truncated"") with no clear performing subject. Reformulated with the system as the active subject performing the truncation; rest of the requirement is unchanged."
